"1","Cameron Eagans"
"2","Aurélien Thieriot"
"1","Marco Pivetta"
"1","Thom Toogood"
"1","sclarson"
"1","István Palócz"
"5","Rob Loach"
"1","Marco Vito Moscaritolo"
"1","erikmaarten"
"1","Philipp Scheit"
"2","Denis Sokolov"
"5","Xavier Fornes"
"3","James Titcumb"
"2","Kamran Ahmed"
"1","Łukasz Wojciechowski"
"1","Daniele Alessandri"
"3","kthbit"
"1","Ben Bieker"
"8","Luis Cordova"
"1","Raffael Comi"
"1","elazar"
"1","Matěj Grabovský"
"5","Sebastian Krebs"
"4","Rafael Dohms"
"2","Roel Arents"
"1","Bryan J. Agee"
"4","Dmitry Tarasov"
"1","Jon Dufresne"
"2","Evan Mattson"
"22","Fabien Potencier"
"10","jakoch"
"1","François Pluchino"
"1","Robert Reiz"
"2","jos101"
"1","Alexander"
"1","Peter Cowburn"
"18","Bilal Amarni"
"5","Leszek Prabucki"
"10","Bastian Hofmann"
"1","Kris Wallsmith"
"1","Artem Lopata (bumz)"
"1","Martin Shwalbe"
"1","Thomas Szteliga"
"9","Barry vd. Heuvel"
"1","Thijs Lensselink"
"2","Jaapio"
"1","Saul Wilcox"
"4","Joe Holdcroft"
"2","Hector Prats"
"1","npiderman"
"1","Aydin"
"1","Daniel Jackson"
"1","Max Voloshin"
"1","Bernhard Froehlich"
"1","Elenor"
"1","Dawid Nowak"
"2","DSanchez"
"2","Jakub Zalas"
"7","Guillaume ZITTA"
"1","Christer Edvartsen"
"1","Chris Harvey"
"2","Jose Diaz-Gonzalez"
"1","Edwin Rodríguez"
"2","Fabian Vogler"
"1","fduch"
"1","go.schmidt"
"2","Marc Bennewitz"
"1","Thiago Carvalho"
"11","Wil Moore III"
"5","Frederik Bosch"
"2","golodnyi"
"1","Mickael GOETZ"
"2","Giorgio Premi"
"2","Barys Biankouski"
"1","gregory"
"1","Plamen Garkov"
"1","Wouter Wolters"
"1","Anthon Pang"
"1","DC*"
"1","Ken Marfilla"
"1","isoroku"
"1","Abyr Valg"
"5","JamesRezo"
"1","Robin Hallabro"
"1","Jos"
"4","John Long"
"1","Geo"
"15","Kirill chEbba Chebunin"
"16","Gabriel Caruso"
"6","Jan Prieser"
"1","Julius Beckmann"
"1","Jonas Thelemann"
"2","Pierre Minnieur"
"1","Krzysztof Menżyk"
"2","Alexander Kurilo"
"1","Nick Wilde"
"1","Sebastian Schawohl"
"1","Fabio Bas"
"1","Peter O'Callaghan"
"2","Matthias Derer"
"1","Thomas Punt"
"2","AjiYakin"
"117","Igor Wiedler"
"1","Robert Gruendler"
"1","Morgan BRUNOT"
"1","findstar"
"1","Petr Heinz"
"1","Christian Schnegelberger"
"3","Grégoire Paris"
"14","Serge Smertin"
"1","Michael King"
"2","Jonas Stendahl"
"1","ffguru"
"1","Michael Kühn"
"1","AQNOUCH Mohammed"
"1","Phil Lello"
"25","Andreas Hennings"
"1","Grzegorz Korba"
"4","Jeroen Seegers"
"1","Artem Lopata"
"1","Sergey Gonimar"
"3","Ulrich Kautz"
"3","myqlarson"
"2","Francesc Rosàs"
"6","Fred Emmott"
"2","David Zülke"
"2","Matthew "Juniper" Barlett"
"1","Robbie Averill"
"4","Galymzhan"
"2","Christian Schiffler"
"5","Jerome TAMARELLE"
"2","Eric Daspet"
"3","René Kerner"
"5","Wes Mason"
"4","Michael Cullum"
"4","Shane Auckland"
"1","Max"
"2","Lauris Binde"
"1","Matthieu Auger"
"1","Roman Kluth"
"1","iamluc"
"1","Flo"
"1","Baldur Rensch"
"14","Johannes M. Schmitt"
"1","Pieter Frenssen"
"5","Hugo Fonseca"
"1","Claus Due"
"1","Pete Akins"
"1","Pierre-Yves Lebecq"
"1","Patrick Pokatilo"
"17","Sandy Pleyte"
"1","Radek Benkel"
"1","Garth Kerr"
"2","croensch"
"1","Jeroen Ketelaar"
"1","André R"
"9","Miklós Márton"
"1","Shawn Tunney"
"4","Mark Achee"
"3","Brian Clozel"
"1","Tom Kay"
"1","Daum"
"2","David Stoline"
"1","Sven Münnich"
"12","Joshua Estes"
"1","Alejandro Celaya"
"11","Jérôme Tamarelle"
"1","Andrew Coulton"
"1","annesosensio"
"4","Kévin Dunglas"
"1","Pedro de Carvalho"
"1","Sam Mousa"
"2","Felix Kiss"
"1","bronze1man"
"1","Sergey Linnik"
"1","pauliwang"
"1","akorsus"
"1","Marc"
"3","Colin Frei"
"2","Adrian Dragus"
"1","John Boehr"
"1","Christian Jul Jensen"
"1","William Entriken"
"1","Gabriele Santini"
"2","Filip Procházka"
"3","Taylor Otwell"
"2","Ben Peachey"
"9","Tobias Munk"
"5","Romain Neutron"
"3","Michal Gebauer"
"7","John Kary"
"2","Richard Heelin"
"91","Niels Keurentjes"
"1","zweifisch"
"7","Stephan Hochdörfer"
"1","M N Islam Shihan"
"1","David Yell"
"2","Ed Reel"
"2","hanov.ruslan"
"2","Tobias Schultze"
"1","James Buncle"
"1","Brikou CARRE"
"5","Wil Hall"
"1","Nicola Spanti (RyDroid)"
"1","Boris Momčilović"
"11","Robert Schönthal"
"5","Grégoire Pineau"
"2","James Moran"
"1","Josiah"
"526","Nils Adermann"
"1","Edward Hartwell Goose"
"1","Thomas Landauer"
"6","Jordan Alliot"
"3","Artur Eshenbrener"
"1","Clément Gautier"
"2","David Simon"
"1","Yaman Jain"
"1","copitz"
"1","Mikk Tendermann"
"1","Daniel González"
"22","Andreas Möller"
"1","Dave Hulbert"
"1","Ayesh Karunaratne"
"5","Alexander M. Turek"
"1","Magnus Nordlander"
"1","Thaddee Tyl"
"1","Mihai Plasoianu"
"4","Robert Boloc"
"4","David Barratt"
"1","Daniel Holmes"
"6","Danack"
"1","Bartek Zdanowski"
"1","Alain Schlesser"
"1","Jean Baptiste Noblot"
"10","Matthew Grasmick"
"1","forevermatt"
"1","Alex Bowers"
"6","Christoph Hochstrasser"
"2","Sven Luijten"
"3","Pavel Savinov"
"2","Maks3w"
"4","Jesse Donat"
"1","John Stevenson"
"1","Branden Cash"
"1","nickolay-cure4you"
"2","Douglas Greenshields"
"1","Arjan"
"8","闫兴茂"
"1","Richard George"
"1","Paul Tarjan"
"1","H. Westphal"
"1","Yannick Carrière"
"1","Dmitry Menshikov"
"2","Adán Lobato"
"1","drscre"
"1","efajnzilberg"
"2","Daniel Karl"
"1","Yagiz Nizipli"
"1","Jeff Puckett"
"1","Daniel Karp"
"6","rkerner"
"1","Sjoerd Adema"
"3","Ricard Clau"
"7","Nami-Doc"
"1","Eymen Gunay"
"3","Benjamin Grandfond"
"1","Gordon Schmidt"
"1","Matrosov"
"2","Jeremy Postlethwaite"
"1","Przemysław Piechota"
"1","DonMartio"
"1","Ivan Pepelko"
"1","Vic Metcalfe"
"1","frezno"
"2","Craig Duncan"
"1","Brett Santore"
"2","Webber Wu"
